author_id,award_year,pre_avg_citations,post_avg_citations,pre_avg_works,post_avg_works,lift_citations,lift_works,conference,author_position,group,treatment
A5018783153,2006,174.8,3249.4,6.2,38.0,18.58924485125858,6.129032258064516,ICML,middle,nonaward,
A5018795232,2003,14.2,69.0,1.0,1.6,4.859154929577465,1.6,ICCV,first,nonaward,
A5018809254,2005,0.0,0.0,0.0,0.0,,,VLDB,middle,nonaward,
A5018979151,2005,96.4,0.0,0.6,0.0,0.0,0.0,VLDB,middle,nonaward,
A5019043770,2016,1221.0,399.0,15.2,12.6,0.3267813267813267,0.8289473684210527,NSDI,last,nonaward,
A5019394715,2016,6.6,160.8,0.6,3.8,24.363636363636367,6.333333333333333,FSE,first,nonaward,
A5019539533,2010,3963.8,9906.4,33.8,55.8,2.4992179221958724,1.650887573964497,VLDB,last,nonaward,
A5019700958,2006,0.6,17.2,3.6,2.8,28.666666666666668,0.7777777777777777,SIGMOD,last,nonaward,
A5019716133,2017,9.0,7.4,1.4,2.8,0.8222222222222223,2.0,SIGIR,first,nonaward,
A5019854432,2008,380.8,355.0,9.4,9.8,0.932247899159664,1.0425531914893618,AAAI,first,nonaward,
A5020104906,2016,20.8,54.4,3.6,4.2,2.6153846153846154,1.1666666666666667,PLDI,middle,nonaward,
A5020260274,2003,152.0,1188.4,2.8,31.8,7.81842105263158,11.357142857142858,FSE,middle,nonaward,
A5020577047,2018,1337.0,603.0,22.6,19.0,0.4510097232610321,0.8407079646017699,SODA,last,nonaward,
A5020700487,2016,78.2,15.4,8.4,4.2,0.1969309462915601,0.5,ICML,middle,nonaward,
A5020744800,2003,4368.4,452.4,9.0,8.6,0.1035619448768427,0.9555555555555556,FOCS,first,nonaward,
A5020824664,2011,75.8,0.0,4.8,0.0,0.0,0.0,CVPR,first,nonaward,
A5020836845,2007,592.2,1219.8,18.2,35.6,2.059777102330293,1.956043956043956,STOC,last,nonaward,
A5020867038,2012,26.2,24.6,3.0,5.6,0.9389312977099238,1.8666666666666665,ICML,first,nonaward,
A5020922899,2018,116.4,38.2,2.2,6.0,0.3281786941580756,2.727272727272727,ICML,middle,nonaward,
A5021272202,2010,359.2,11.8,8.6,3.8,0.0328507795100222,0.4418604651162791,VLDB,middle,nonaward,
A5021300666,2007,808.6,178.8,8.6,2.0,0.2211229285184269,0.2325581395348837,STOC,first,nonaward,
A5021358047,2016,0.0,29.6,0.4,1.8,,4.5,FSE,first,nonaward,
A5021513876,2007,15.6,0.2,1.4,0.6,0.0128205128205128,0.4285714285714286,ACL,last,nonaward,
A5021598695,2018,18.4,23.2,1.2,3.2,1.2608695652173914,2.666666666666667,AAAI,first,nonaward,
A5021709117,2011,253.4,129.6,2.6,5.8,0.5114443567482241,2.230769230769231,ACL,last,nonaward,
A5021842384,2015,1065.0,349.0,9.4,14.0,0.3276995305164319,1.4893617021276595,NeurIPS,first,nonaward,
A5021879561,2016,291.0,104.4,8.4,5.0,0.3587628865979381,0.5952380952380952,NSDI,first,nonaward,
A5021928700,2012,932.4,920.0,46.8,52.0,0.9867009867009868,1.1111111111111112,AAAI,middle,nonaward,
A5022249083,2009,0.0,0.0,0.0,0.0,,,S&P,first,nonaward,
A5022322296,2017,48.4,26.6,5.0,4.0,0.5495867768595042,0.8,VLDB,first,nonaward,
A5022376891,2016,0.0,0.0,0.0,0.0,,,CHI,middle,nonaward,
A5022407371,2008,0.0,53.0,0.2,1.0,,5.0,CHI,middle,nonaward,
A5022616340,2005,6.2,23.0,0.6,2.2,3.7096774193548394,3.666666666666667,VLDB,first,nonaward,
A5022711233,2015,131.6,397.8,6.6,12.6,3.022796352583587,1.9090909090909087,CIKM,middle,nonaward,
A5022853344,2018,222.2,73.4,10.8,7.2,0.3303330333033303,0.6666666666666666,SODA,middle,nonaward,
A5022875077,2018,92.6,55.4,9.8,14.6,0.5982721382289417,1.4897959183673468,ICSE,first,nonaward,
A5022886322,2008,2198.4,645.4,10.4,16.6,0.2935771470160116,1.5961538461538465,FOCS,last,nonaward,
A5023023068,2010,404.2,314.2,3.8,8.6,0.7773379515091539,2.263157894736842,ICSE,first,nonaward,
A5023057383,2008,922.6,685.2,27.6,21.4,0.7426837199219597,0.7753623188405796,S&P,last,nonaward,
