conference,work_id,cited_by_count,pub_year,type
INFOCOM,W2584211696,0,2015.0,regular
INFOCOM,W2963958000,140,2016.0,regular
INFOCOM,W4281709105,1,2022.0,regular
INFOCOM,W2292195866,0,2015.0,regular
INFOCOM,W7134024070,0,2022.0,regular
INFOCOM,W2292760133,0,2015.0,regular
INFOCOM,W2606043064,1,2015.0,regular
INFOCOM,W7134019929,0,2021.0,regular
INFOCOM,W2560968707,1,2015.0,regular
INFOCOM,W2731699539,0,2015.0,regular
INFOCOM,W3157237420,6,2012.0,regular
INFOCOM,W2526464076,0,2015.0,regular
INFOCOM,W2567648897,0,2015.0,regular
INFOCOM,W2657403205,0,2009.0,regular
INFOCOM,W2480516239,0,2015.0,regular
INFOCOM,W2732442368,0,2015.0,regular
INFOCOM,W7133925659,0,2023.0,regular
INFOCOM,W2583456436,0,2015.0,regular
INFOCOM,W2265818029,0,2015.0,regular
INFOCOM,W2287727431,1,2010.0,regular
INFOCOM,W7134024823,0,2022.0,regular
INFOCOM,W2416006025,0,2015.0,regular
INFOCOM,W7133620352,0,2001.0,regular
INFOCOM,W2567110442,0,2015.0,regular
INFOCOM,W2969771999,1,2019.0,regular
INFOCOM,W2292818373,0,2015.0,regular
INFOCOM,W7134023027,0,2022.0,regular
INFOCOM,W7134028481,0,2017.0,regular
INFOCOM,W2589790024,0,2012.0,regular
INFOCOM,W7134024799,0,2019.0,regular
INFOCOM,W2566282489,0,2015.0,regular
INFOCOM,W2515197317,0,2011.0,regular
INFOCOM,W2290989518,0,2013.0,regular
INFOCOM,W7133888388,0,1998.0,regular
INFOCOM,W2460459508,0,2015.0,regular
INFOCOM,W1553088438,0,2006.0,regular
INFOCOM,W7134020099,0,2018.0,regular
INFOCOM,W7133761933,0,1999.0,regular
INFOCOM,W2724660981,0,2009.0,regular
INFOCOM,W2306027137,0,2010.0,regular
INFOCOM,W2206387976,2,2013.0,regular
INFOCOM,W3036907975,63,2020.0,regular
INFOCOM,W4386045443,0,2023.0,regular
INFOCOM,W7134027063,0,2021.0,regular
INFOCOM,W2621167035,0,2014.0,regular
INFOCOM,W7134026516,0,2022.0,regular
INFOCOM,W2613877228,0,2015.0,regular
KDD,W2962680951,9,2017.0,regular
KDD,W2963568334,21,2015.0,regular
KDD,W3209174574,27,2021.0,regular
KDD,W2963956412,22,2018.0,regular
KDD,W3008725893,27,2019.0,regular
KDD,W2963666573,65,2016.0,regular
KDD,W3212487835,20,2021.0,regular
KDD,W2996580318,15,2018.0,regular
KDD,W3186758430,65,2021.0,regular
KDD,W3213882184,22,2017.0,regular
KDD,W3209830540,9,2021.0,regular
KDD,W2963814707,5,2018.0,regular
KDD,W3165064550,4,2021.0,regular
KDD,W2963516646,95,2016.0,regular
KDD,W3181356059,77,2020.0,regular
KDD,W2965886910,9,2017.0,regular
KDD,W4296700525,12,2022.0,regular
KDD,W3211637939,11,2021.0,regular
KDD,W2996447514,17,2018.0,regular
KDD,W3203095376,20,2021.0,regular
KDD,W3199713517,17,2021.0,regular
KDD,W4226283412,27,2021.0,regular
KDD,W4287023797,5,2021.0,regular
KDD,W2985605471,9,2019.0,regular
KDD,W2964230361,59,2015.0,regular
KDD,W2962871321,25,2016.0,regular
KDD,W2942508063,91,2019.0,regular
KDD,W3186208756,34,2021.0,regular
KDD,W3205813705,8,2021.0,regular
KDD,W3140129157,1,2011.0,regular
KDD,W3215953200,6,2021.0,regular
KDD,W2963332798,1,2015.0,regular
KDD,W2963001435,7,2017.0,regular
KDD,W2963488431,14,2017.0,regular
KDD,W2964068172,11,2016.0,regular
KDD,W2962691672,18,2016.0,regular
KDD,W2964133791,2,2017.0,regular
KDD,W3206837489,45,2021.0,regular
KDD,W2963978069,183,2016.0,regular
KDD,W3215301771,71,2021.0,regular
KDD,W2963872945,16,2015.0,regular
KDD,W3197730363,36,2021.0,regular
KDD,W3197867394,32,2021.0,regular
KDD,W3210225642,30,2021.0,regular
KDD,W4293248187,1,2022.0,regular
KDD,W2964008148,51,2017.0,regular
KDD,W2987616794,22,2019.0,regular
KDD,W3010999265,24,2018.0,regular
KDD,W2967756749,29,2019.0,regular
KDD,W2963597965,15,2016.0,regular
MOBICOM,W2538862502,2,2016.0,regular
MOBICOM,W3137536421,6,2021.0,regular
MOBICOM,W2943178773,0,2019.0,regular
MOBICOM,W2606011057,9,2017.0,regular
MOBICOM,W2516451702,12,2016.0,regular
MOBICOM,W3176531377,5,2021.0,regular
MOBICOM,W2516876698,2,2016.0,regular
MOBICOM,W4281858896,10,2022.0,regular
MOBICOM,W2999912687,0,2020.0,regular
MOBICOM,W4388116221,1,2023.0,regular
MOBICOM,W2250698075,5,2015.0,regular
MOBICOM,W4415715153,0,2025.0,regular
MOBICOM,W4388116473,14,2023.0,regular
MOBICOM,W2998170266,8,2019.0,regular
MOBICOM,W3028937374,0,2020.0,regular
MOBICOM,W2909865272,15,2019.0,regular
