conference,award_year,work_id,cited_by_count,type
SOSP,2009,https://openalex.org/W2137888380,4,award
STOC,2009,https://openalex.org/W2019883273,136,award
VLDB,2009,https://openalex.org/W2998654680,48,award
AAAI,2008,https://openalex.org/W192051504,42,award
CHI,2008,https://openalex.org/W2094064671,18,award
CHI,2008,https://openalex.org/W2053078227,156,award
CVPR,2008,https://openalex.org/W2113201641,691,award
CVPR,2008,https://openalex.org/W2111559961,122,award
FOCS,2008,https://openalex.org/W1497086998,0,award
FSE,2008,https://openalex.org/W2160517961,593,award
ICSE,2008,https://openalex.org/W2154843497,140,award
ICSE,2008,https://openalex.org/W1790484086,5,award
ICSE,2008,https://openalex.org/W2136043644,77,award
ICSE,2008,https://openalex.org/W2130243914,122,award
INFOCOM,2008,https://openalex.org/W2133795371,48,award
KDD,2008,https://openalex.org/W2118556950,45,award
NSDI,2008,https://openalex.org/W48887007,11,award
NSDI,2008,https://openalex.org/W1598241463,87,award
OSDI,2008,https://openalex.org/W1710734607,2670,award
OSDI,2008,https://openalex.org/W1493893823,699,award
OSDI,2008,https://openalex.org/W2013592197,232,award
PODS,2008,https://openalex.org/W1967172267,76,award
S&P,2008,https://openalex.org/W2143472559,726,award
SIGMOD,2008,https://openalex.org/W2171901130,303,award
WWW,2008,https://openalex.org/W2145990704,81,award
AAAI,2007,https://openalex.org/W2146447174,146,award
AAAI,2007,https://openalex.org/W1902527071,13,award
ACL,2007,https://openalex.org/W2121465811,357,award
CHI,2007,https://openalex.org/W2117601224,152,award
CHI,2007,https://openalex.org/W2006550435,193,award
CHI,2007,https://openalex.org/W2152312062,233,award
CHI,2007,https://openalex.org/W2057359302,65,award
CHI,2007,https://openalex.org/W3172402307,2,award
CVPR,2007,https://openalex.org/W2082546838,87,award
FSE,2007,https://openalex.org/W2163643791,89,award
FSE,2007,https://openalex.org/W2042454716,141,award
FSE,2007,https://openalex.org/W2137956345,91,award
ICML,2007,https://openalex.org/W2169495281,2030,award
ICSE,2007,https://openalex.org/W2145544369,211,award
ICSE,2007,https://openalex.org/W2151553346,481,award
ICSE,2007,https://openalex.org/W2152846401,246,award
ICSE,2007,https://openalex.org/W2115694885,56,award
IJCAI,2007,https://openalex.org/W110738662,44,award
KDD,2007,https://openalex.org/W2056932183,65,award
PLDI,2007,https://openalex.org/W2071286129,37,award
SIGIR,2007,https://openalex.org/W2149156280,197,award
SIGMOD,2007,https://openalex.org/W2035801804,85,award
SOSP,2007,https://openalex.org/W2038345682,283,award
SOSP,2007,https://openalex.org/W2166510103,243,award
STOC,2007,https://openalex.org/W1998698985,448,award
UIST,2007,https://openalex.org/W2140280838,129,award
VLDB,2007,https://openalex.org/W2140613126,655,award
ACL,2006,https://openalex.org/W2144108169,454,award
CHI,2006,https://openalex.org/W2118755902,199,award
CIKM,2006,https://openalex.org/W2044983364,41,award
CVPR,2006,https://openalex.org/W2146352414,820,award
FSE,2006,https://openalex.org/W2107794009,251,award
ICML,2006,https://openalex.org/W2162152253,361,award
ICSE,2006,https://openalex.org/W2071616717,399,award
ICSE,2006,https://openalex.org/W2079317829,906,award
OSDI,2006,https://openalex.org/W2058535975,47,award
SIGMETRICS,2006,https://openalex.org/W4214714086,135,award
SIGMOD,2006,https://openalex.org/W118378920,24,award
VLDB,2006,https://openalex.org/W2146081216,29,award
CHI,2005,https://openalex.org/W2153282521,110,award
CIKM,2005,https://openalex.org/W1965605976,39,award
FOCS,2005,https://openalex.org/W2133589924,188,award
FSE,2005,https://openalex.org/W2166140339,116,award
ICSE,2005,https://openalex.org/W2170239024,99,award
ICSE,2005,https://openalex.org/W2013711971,782,award
ICSE,2005,https://openalex.org/W4239049496,76,award
PLDI,2005,https://openalex.org/W4236944756,124,award
PLDI,2005,https://openalex.org/W4245234767,174,award
PODS,2005,https://openalex.org/W2111421966,14,award
SOSP,2005,https://openalex.org/W2099323800,250,award
UIST,2005,https://openalex.org/W2042616792,223,award
VLDB,2005,https://openalex.org/W2135552269,63,award
WWW,2005,https://openalex.org/W1977841655,156,award
AAAI,2004,https://openalex.org/W2753424512,0,award
ACL,2004,https://openalex.org/W2121147707,313,award
CIKM,2004,https://openalex.org/W2026168616,20,award
CVPR,2004,https://openalex.org/W2101305476,102,award
FOCS,2004,https://openalex.org/W2163375015,64,award
FOCS,2004,https://openalex.org/W1984459117,216,award
FSE,2004,https://openalex.org/W2149612550,167,award
ICSE,2004,https://openalex.org/W2041853131,151,award
ICSE,2004,https://openalex.org/W4244325127,81,award
ICSE,2004,https://openalex.org/W2003751975,94,award
ICSE,2004,https://openalex.org/W4240473828,13,award
INFOCOM,2004,https://openalex.org/W2161725792,589,award
KDD,2004,https://openalex.org/W2139956879,816,award
OSDI,2004,https://openalex.org/W2116283852,136,award
OSDI,2004,https://openalex.org/W146360823,18,award
SIGIR,2004,https://openalex.org/W2134557008,350,award
SIGMETRICS,2004,https://openalex.org/W2116790783,51,award
SIGMOD,2004,https://openalex.org/W1993855803,314,award
UIST,2004,https://openalex.org/W1989450868,168,award
WWW,2004,https://openalex.org/W2064716575,77,award
ACL,2003,https://openalex.org/W2113272343,201,award
CVPR,2003,https://openalex.org/W2154422044,2036,award
FOCS,2003,https://openalex.org/W2149463264,138,award
FSE,2003,https://openalex.org/W2121376435,81,award
FSE,2003,https://openalex.org/W2131467114,111,award
FSE,2003,https://openalex.org/W2142038400,57,award
ICCV,2003,https://openalex.org/W2066763472,157,award
ICCV,2003,https://openalex.org/W2056860348,512,award
ICCV,2003,https://openalex.org/W1992825118,2100,award
ICSE,2003,https://openalex.org/W2160510992,192,award
ICSE,2003,https://openalex.org/W4243167850,130,award
IJCAI,2003,https://openalex.org/W1664963465,208,award
KDD,2003,https://openalex.org/W2061820396,7201,award
SIGMOD,2003,https://openalex.org/W2102951036,68,award
SOSP,2003,https://openalex.org/W2144552569,101,award
SOSP,2003,https://openalex.org/W2295705535,297,award
WWW,2003,https://openalex.org/W2069153192,1195,award
WWW,2003,https://openalex.org/W2099003704,156,award
ACL,2002,https://openalex.org/W2154124206,1042,award
FOCS,2002,https://openalex.org/W2787952106,0,award
KDD,2002,https://openalex.org/W2045747317,38,award
