author_id,award_year,rel_year,pubs,cits
A5036247394,2012,3,0,0
A5036247394,2012,4,0,0
A5036247394,2012,5,0,0
A5103059451,2012,-5,2,2
A5103059451,2012,-4,5,342
A5103059451,2012,-3,5,104
A5103059451,2012,-2,6,21
A5103059451,2012,-1,3,34
A5103059451,2012,0,8,71
A5103059451,2012,1,4,85
A5103059451,2012,2,5,33
A5103059451,2012,3,4,56
A5103059451,2012,4,6,13
A5103059451,2012,5,2,34
A5060331748,2012,-5,0,0
A5060331748,2012,-4,0,0
A5060331748,2012,-3,0,0
A5060331748,2012,-2,0,0
A5060331748,2012,-1,0,0
A5060331748,2012,0,2,57
A5060331748,2012,1,1,20
A5060331748,2012,2,1,29
A5060331748,2012,3,1,10
A5060331748,2012,4,1,1
A5060331748,2012,5,0,0
A5100691368,2012,-5,0,0
A5100691368,2012,-4,0,0
A5100691368,2012,-3,1,1
A5100691368,2012,-2,0,0
A5100691368,2012,-1,1,9
A5100691368,2012,0,3,57
A5100691368,2012,1,1,23
A5100691368,2012,2,0,0
A5100691368,2012,3,6,293
A5100691368,2012,4,4,10
A5100691368,2012,5,7,6
A5072768006,2012,-5,3,158
A5072768006,2012,-4,4,465
A5072768006,2012,-3,6,218
A5072768006,2012,-2,16,543
A5072768006,2012,-1,20,624
A5072768006,2012,0,12,405
A5072768006,2012,1,19,489
A5072768006,2012,2,18,574
A5072768006,2012,3,19,549
A5072768006,2012,4,13,182
A5072768006,2012,5,11,429
A5075250507,2012,-5,3,74
A5075250507,2012,-4,18,303
A5075250507,2012,-3,16,125
A5075250507,2012,-2,12,198
A5075250507,2012,-1,9,126
A5075250507,2012,0,10,97
A5075250507,2012,1,11,83
A5075250507,2012,2,10,179
A5075250507,2012,3,14,142
A5075250507,2012,4,17,214
A5075250507,2012,5,20,169
A5072774346,2012,-5,1,40
A5072774346,2012,-4,0,0
A5072774346,2012,-3,0,0
A5072774346,2012,-2,0,0
A5072774346,2012,-1,0,0
A5072774346,2012,0,3,143
A5072774346,2012,1,3,37
A5072774346,2012,2,0,0
A5072774346,2012,3,2,31
A5072774346,2012,4,0,0
A5072774346,2012,5,2,3
A5068251706,2012,-5,9,318
A5068251706,2012,-4,6,109
A5068251706,2012,-3,5,1650
A5068251706,2012,-2,4,35
A5068251706,2012,-1,19,12
A5068251706,2012,0,15,285
A5068251706,2012,1,6,187
A5068251706,2012,2,8,772
A5068251706,2012,3,3,25
A5068251706,2012,4,4,32
A5068251706,2012,5,11,171
A5064323671,2012,-5,3,59
A5064323671,2012,-4,5,178
A5064323671,2012,-3,4,69
A5064323671,2012,-2,7,114
A5064323671,2012,-1,6,287
A5064323671,2012,0,10,336
A5064323671,2012,1,11,143
A5064323671,2012,2,18,154
A5064323671,2012,3,14,189
A5064323671,2012,4,24,369
A5064323671,2012,5,16,259
A5088183118,2012,-5,2,94
A5088183118,2012,-4,3,42
A5088183118,2012,-3,1,14
A5088183118,2012,-2,3,29
A5088183118,2012,-1,8,1154
A5088183118,2012,0,13,411
A5088183118,2012,1,9,1906
A5088183118,2012,2,11,451
A5088183118,2012,3,19,501
A5088183118,2012,4,25,1115
A5088183118,2012,5,23,1546
A5057193820,2012,-5,13,2120
A5057193820,2012,-4,20,920
A5057193820,2012,-3,11,1356
A5057193820,2012,-2,24,848
A5057193820,2012,-1,34,2681
A5057193820,2012,0,34,1924
A5057193820,2012,1,29,2849
A5057193820,2012,2,29,1211
A5057193820,2012,3,17,398
A5057193820,2012,4,12,1099
A5057193820,2012,5,12,562
A5088958424,2013,-5,0,0
A5088958424,2013,-4,0,0
A5088958424,2013,-3,0,0
A5088958424,2013,-2,0,0
A5088958424,2013,-1,0,0
A5088958424,2013,0,1,452
A5088958424,2013,1,0,0
A5088958424,2013,2,0,0
A5088958424,2013,3,0,0
A5088958424,2013,4,0,0
A5088958424,2013,5,0,0
A5066366719,2013,-5,1,0
A5066366719,2013,-4,2,5
A5066366719,2013,-3,2,1
A5066366719,2013,-2,0,0
A5066366719,2013,-1,1,2
A5066366719,2013,0,1,452
A5066366719,2013,1,1,2
A5066366719,2013,2,0,0
A5066366719,2013,3,0,0
A5066366719,2013,4,0,0
A5066366719,2013,5,0,0
A5076210154,2013,-5,7,25
A5076210154,2013,-4,1,0
A5076210154,2013,-3,3,20
A5076210154,2013,-2,6,160
A5076210154,2013,-1,12,115
A5076210154,2013,0,14,808
A5076210154,2013,1,8,162
A5076210154,2013,2,12,373
A5076210154,2013,3,5,453
A5076210154,2013,4,13,110
A5076210154,2013,5,8,187
A5065104734,2013,-5,10,262
A5065104734,2013,-4,13,526
A5065104734,2013,-3,10,111
A5065104734,2013,-2,16,577
A5065104734,2013,-1,11,152
A5065104734,2013,0,18,901
A5065104734,2013,1,5,243
A5065104734,2013,2,2,38
A5065104734,2013,3,4,383
A5065104734,2013,4,2,6
A5065104734,2013,5,2,33
A5023430434,2013,-5,0,0
A5023430434,2013,-4,0,0
A5023430434,2013,-3,0,0
A5023430434,2013,-2,0,0
A5023430434,2013,-1,1,1
A5023430434,2013,0,2,778
A5023430434,2013,1,0,0
A5023430434,2013,2,0,0
A5023430434,2013,3,0,0
A5023430434,2013,4,0,0
A5023430434,2013,5,0,0
A5049356695,2013,-5,0,0
A5049356695,2013,-4,0,0
A5049356695,2013,-3,0,0
A5049356695,2013,-2,0,0
A5049356695,2013,-1,0,0
A5049356695,2013,0,2,778
A5049356695,2013,1,0,0
A5049356695,2013,2,0,0
A5049356695,2013,3,0,0
A5049356695,2013,4,0,0
A5049356695,2013,5,0,0
A5008715111,2013,-5,9,859
A5008715111,2013,-4,6,239
A5008715111,2013,-3,10,943
A5008715111,2013,-2,10,672
A5008715111,2013,-1,4,116
A5008715111,2013,0,8,934
A5008715111,2013,1,12,478
A5008715111,2013,2,10,2088
A5008715111,2013,3,11,720
A5008715111,2013,4,12,261
A5008715111,2013,5,12,135
A5075906727,2013,-5,2,62
A5075906727,2013,-4,2,41
A5075906727,2013,-3,4,2813
A5075906727,2013,-2,8,1110
A5075906727,2013,-1,5,539
A5075906727,2013,0,10,1219
A5075906727,2013,1,18,4471
A5075906727,2013,2,20,9152
A5075906727,2013,3,21,8773
A5075906727,2013,4,26,9452
A5075906727,2013,5,32,1892
A5004083108,2013,-5,1,7
A5004083108,2013,-4,5,15
A5004083108,2013,-3,14,410
A5004083108,2013,-2,1,21
A5004083108,2013,-1,1,0
A5004083108,2013,0,5,924
A5004083108,2013,1,9,16962
A5004083108,2013,2,5,5709
A5004083108,2013,3,7,1895
A5004083108,2013,4,7,3358
A5004083108,2013,5,1,22
