author_id,award_year,pre_pubs,post_pubs,pre_cits,post_cits,pub_lift,cit_lift,conference,author_position,group
A5014859870,2010,0.0,0.2,0.0,0.2,0.2,0.2,ICML,middle,nonaward
A5015060335,2011,0.0,0.0,0.0,0.0,0.0,0.0,ICSE,last,nonaward
A5015100237,2011,4.4,5.8,161.0,91.2,1.3999999999999995,-69.8,VLDB,last,nonaward
A5015162425,2007,5.6,9.8,632.4,841.6,4.200000000000001,209.20000000000005,CVPR,last,nonaward
A5015166762,2004,1.0,4.2,6.8,43.4,3.2,36.6,ACL,middle,nonaward
A5015186693,2013,1.0,0.4,565.8,39.4,-0.6,-526.4,UIST,middle,nonaward
A5015208803,2009,1.8,4.0,102.0,193.8,2.2,91.80000000000001,SOSP,middle,nonaward
A5015328387,2012,2.8,7.6,96.8,184.8,4.8,88.00000000000001,KDD,first,nonaward
A5015355530,2016,3.4,3.2,69.4,58.8,-0.19999999999999973,-10.600000000000009,NSDI,first,nonaward
A5015390291,2011,5.0,11.8,102.6,208.8,6.800000000000001,106.20000000000002,CHI,first,nonaward
A5015429075,2013,2.0,1.0,736.8,108.6,-1.0,-628.1999999999999,VLDB,last,nonaward
A5015641011,2015,11.6,19.6,377.2,358.4,8.000000000000002,-18.80000000000001,PODS,middle,nonaward
A5015710502,2010,5.2,5.0,30.2,51.4,-0.20000000000000018,21.2,CIKM,middle,nonaward
A5015824343,2013,47.4,44.0,677.2,1856.2,-3.3999999999999986,1179.0,CHI,first,nonaward
A5015857371,2017,7.6,7.8,5626.6,749.2,0.20000000000000018,-4877.400000000001,ACL,middle,nonaward
A5015857371,2017,7.6,7.8,5626.6,749.2,0.20000000000000018,-4877.400000000001,CVPR,middle,nonaward
A5015857371,2017,7.6,7.8,5626.6,749.2,0.20000000000000018,-4877.400000000001,SOSP,middle,nonaward
A5015965031,2010,8.8,2.8,1766.8,453.0,-6.000000000000001,-1313.8,OSDI,middle,nonaward
A5015968689,2011,20.6,8.4,424.0,117.4,-12.200000000000001,-306.6,SOSP,last,nonaward
A5016095713,2011,1.4,5.2,21.4,350.2,3.8000000000000003,328.8,AAAI,first,nonaward
A5016115127,2008,0.2,3.0,12.0,727.6,2.8,715.6,S&P,first,nonaward
A5016158060,2010,0.2,3.0,2.6,169.8,2.8,167.20000000000002,AAAI,middle,nonaward
A5016220769,2013,0.0,0.2,0.0,108.4,0.2,108.4,VLDB,middle,nonaward
A5016318325,2010,1.6,3.2,18.6,378.4,1.6,359.79999999999995,OSDI,middle,nonaward
A5016327606,2008,0.2,2.4,2.6,68.6,2.1999999999999997,66.0,NSDI,middle,nonaward
A5016462041,2015,11.4,10.2,245.4,132.8,-1.200000000000001,-112.6,IJCAI,last,nonaward
A5016537835,2010,2.6,5.8,237.4,307.2,3.1999999999999997,69.79999999999998,STOC,last,nonaward
A5016586245,2016,1.6,0.6,596.8,11.4,-1.0,-585.4,OSDI,middle,nonaward
A5016656677,2012,14.8,10.6,880.4,284.8,-4.200000000000001,-595.5999999999999,SODA,middle,nonaward
A5016701251,2011,53.6,62.4,2203.4,2858.6,8.799999999999997,655.1999999999998,IJCAI,middle,nonaward
A5016825195,2015,12.2,12.8,323.6,267.6,0.6000000000000014,-56.0,PODS,middle,nonaward
A5016956470,2017,5.6,24.2,290.8,2093.6,18.6,1802.8,ACL,middle,nonaward
A5016956470,2017,5.6,24.2,290.8,2093.6,18.6,1802.8,CVPR,middle,nonaward
A5016956470,2017,5.6,24.2,290.8,2093.6,18.6,1802.8,SOSP,middle,nonaward
A5016969309,2013,0.0,0.0,0.0,0.0,0.0,0.0,VLDB,middle,nonaward
A5016990122,2011,39.2,74.0,1778.0,4758.4,34.8,2980.3999999999996,IJCAI,middle,nonaward
A5017063785,2016,0.6,4.0,37.2,41.0,3.4,3.799999999999997,AAAI,last,nonaward
A5017124490,2003,0.4,2.4,61.4,700.4,2.0,639.0,SOSP,middle,nonaward
A5017124490,2007,3.4,0.4,2653.8,0.4,-3.0,-2653.4,SOSP,first,nonaward
A5017171662,2017,6.4,18.2,261.0,429.6,11.799999999999999,168.60000000000002,ICCV,middle,nonaward
A5017171662,2017,6.4,18.2,261.0,429.6,11.799999999999999,168.60000000000002,S&P,middle,nonaward
A5017172547,2017,16.0,37.0,539.4,986.4,21.0,447.0,ICCV,middle,nonaward
A5017172547,2017,16.0,37.0,539.4,986.4,21.0,447.0,S&P,middle,nonaward
A5017301493,2015,0.8,0.2,13.8,0.8,-0.6000000000000001,-13.0,PODS,middle,nonaward
A5017309894,2012,4.0,7.0,141.2,243.8,3.0,102.60000000000002,ICML,middle,nonaward
A5017319081,2016,0.2,3.2,37.0,86.8,3.0,49.8,NSDI,middle,nonaward
A5017353709,2011,11.0,11.2,655.0,389.4,0.1999999999999993,-265.6,IJCAI,middle,nonaward
A5017381278,2008,8.2,14.0,816.6,4044.8,5.800000000000001,3228.2000000000003,OSDI,middle,nonaward
A5017440349,2009,10.6,8.6,261.6,1305.8,-2.0,1044.1999999999998,SOSP,last,nonaward
A5017482178,2012,11.0,10.2,408.4,397.2,-0.8000000000000007,-11.199999999999989,ICML,middle,nonaward
A5017491938,2010,3.8,7.4,25.6,159.6,3.6000000000000005,134.0,ICML,last,nonaward
A5017670779,2015,3.6,17.0,737.6,430.2,13.4,-307.40000000000003,MOBICOM,middle,nonaward
A5017775499,2006,0.2,0.0,3.6,0.0,-0.2,-3.6,OSDI,middle,nonaward
A5017925444,2009,3.0,11.0,75.6,294.8,8.0,219.20000000000002,SOSP,last,nonaward
A5017927399,2012,21.8,36.4,1330.4,2268.8,14.599999999999998,938.4000000000001,ICML,middle,nonaward
