paper_openalex_id,paper_title,conference,award_year,author_id,author_name,author_position
https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,https://openalex.org/A5042646536,Silvio Savarese,last
https://openalex.org/W2963124215,Classical Verification of Quantum Computation,FOCS,2018,https://openalex.org/A5011207998,Urmila Mahadev,first
https://openalex.org/W2787022562,Pseudorandom Sets in Grassmann Graph have Near-Perfect Expansion,FOCS,2018,https://openalex.org/A5112345861,Khot Subhash,first
https://openalex.org/W2787022562,Pseudorandom Sets in Grassmann Graph have Near-Perfect Expansion,FOCS,2018,https://openalex.org/A5063520549,Dor Minzer,middle
https://openalex.org/W2787022562,Pseudorandom Sets in Grassmann Graph have Near-Perfect Expansion,FOCS,2018,https://openalex.org/A5007318528,Muli Safra,last
https://openalex.org/W2899462170,The Impact of Regular Expression Denial of Service (ReDoS) in Practice: An Empirical Study at the Ecosystem Scale,FSE,2018,https://openalex.org/A5013948143,James C. Davis,first
https://openalex.org/W2899462170,The Impact of Regular Expression Denial of Service (ReDoS) in Practice: An Empirical Study at the Ecosystem Scale,FSE,2018,https://openalex.org/A5068145628,Christy A. Coghlan,middle
https://openalex.org/W2899462170,The Impact of Regular Expression Denial of Service (ReDoS) in Practice: An Empirical Study at the Ecosystem Scale,FSE,2018,https://openalex.org/A5039701716,Francisco Servant,middle
https://openalex.org/W2899462170,The Impact of Regular Expression Denial of Service (ReDoS) in Practice: An Empirical Study at the Ecosystem Scale,FSE,2018,https://openalex.org/A5065310265,Dongyoon Lee,last
https://openalex.org/W2964177714,Adversarial Symbolic Execution for Detecting Concurrency-Related Cache Timing Leaks,FSE,2018,https://openalex.org/A5015125413,Shengjian Guo,first
https://openalex.org/W2964177714,Adversarial Symbolic Execution for Detecting Concurrency-Related Cache Timing Leaks,FSE,2018,https://openalex.org/A5017792083,Meng Wu,middle
https://openalex.org/W2964177714,Adversarial Symbolic Execution for Detecting Concurrency-Related Cache Timing Leaks,FSE,2018,https://openalex.org/A5100406890,Chao Wang,last
https://openalex.org/W2884340427,Data Race Detection on Compressed Traces,FSE,2018,https://openalex.org/A5068124021,Dileep Kini,first
https://openalex.org/W2884340427,Data Race Detection on Compressed Traces,FSE,2018,https://openalex.org/A5016958234,Umang Mathur,middle
https://openalex.org/W2884340427,Data Race Detection on Compressed Traces,FSE,2018,https://openalex.org/A5076852218,Mahesh Viswanathan,last
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5048975494,Yu Gao,first
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5023724495,Wensheng Dou,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5028781688,Feng Qin,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5036073707,Chushu Gao,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5100391567,Dong Wang,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5037779332,Jun Wei,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5112210547,Ruirui Huang,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5101911602,L. Zhou,middle
https://openalex.org/W2899510293,An Empirical Study on Crash Recovery Bugs in Large-Scale Distributed Systems,FSE,2018,https://openalex.org/A5101484888,Yongming Wu,last
https://openalex.org/W2787708942,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,ICML,2018,https://openalex.org/A5091720485,Anish Athalye,first
https://openalex.org/W2787708942,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,ICML,2018,https://openalex.org/A5034257647,Nicholas Carlini,middle
https://openalex.org/W2787708942,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,ICML,2018,https://openalex.org/A5062174672,David Wagner,last
https://openalex.org/W2790697880,Delayed Impact of Fair Machine Learning,ICML,2018,https://openalex.org/A5017596078,Lydia T. Liu,first
https://openalex.org/W2790697880,Delayed Impact of Fair Machine Learning,ICML,2018,https://openalex.org/A5029554720,Sarah Dean,middle
https://openalex.org/W2790697880,Delayed Impact of Fair Machine Learning,ICML,2018,https://openalex.org/A5047182302,Esther Rolf,middle
https://openalex.org/W2790697880,Delayed Impact of Fair Machine Learning,ICML,2018,https://openalex.org/A5037154191,Max Simchowitz,middle
https://openalex.org/W2790697880,Delayed Impact of Fair Machine Learning,ICML,2018,https://openalex.org/A5039915143,Moritz Hardt,last
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5102012317,Lingling Fan,first
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5043441209,Ting Su,middle
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5100658276,Sen Chen,middle
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5017417068,Guozhu Meng,middle
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5100355692,Yang Liu,middle
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5072024833,Lihua Xu,middle
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5054490662,Geguang Pu,middle
https://openalex.org/W2784669118,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,ICSE,2018,https://openalex.org/A5077610917,Zhendong Su,last
https://openalex.org/W2799943342,Spatio-Temporal Context Reduction: A Pointer-Analysis-Based Static Approach for Detecting Use-After-Free Vulnerabilities,ICSE,2018,https://openalex.org/A5071723330,Timo Rehfeld,first
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5103226106,Leonardo Sousa,first
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5041090227,Anderson Oliveira,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5024116315,Willian Oizumi,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5027812149,Simone Diniz Junqueira Barbosa,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5007792821,Alessandro Garcia,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5100627188,Jaejoon Lee,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5062526200,Marcos Kalinowski,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5036209534,Rafael de Mello,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5090231856,Baldoíno Fonseca,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5043970768,Roberto Oliveira,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5021306015,Carlos Lucena,middle
https://openalex.org/W2794694213,Identifying Design Problems in the Source Code: A Grounded Theory,ICSE,2018,https://openalex.org/A5078986097,Rodrigo Paes,last
https://openalex.org/W2795338679,Static Automated Program Repair for Heap Properties,ICSE,2018,https://openalex.org/A5056334354,Rijnard van Tonder,first
