author_id,display_name,works_count,cited_by_count,h_index,i10_index,first_pub_year_countsbyyear
https://openalex.org/A5087012731,H. V. Jagadish,268,12486,57,145,1990
https://openalex.org/A5078907679,Pourang Irani,248,6126,45,128,2003
https://openalex.org/A5008971118,Jesper Kjeldskov,239,5999,35,106,2000
https://openalex.org/A5020573877,Mikael B. Skov,235,4151,34,106,1996
https://openalex.org/A5074698656,Denis Helić,221,1785,21,57,1997
https://openalex.org/A5020901777,Paul E. Smaldino,211,5068,33,72,1999
https://openalex.org/A5073863021,Jin Tian,194,2115,24,56,2000
https://openalex.org/A5023297045,Éric Lecolinet,164,3651,31,60,1989
https://openalex.org/A5083024795,Paul Dourish,161,23458,55,109,1992
https://openalex.org/A5039620960,Elias Bareinboim,152,3829,30,64,2007
https://openalex.org/A5077675371,Can Liu,150,1394,23,38,2003
https://openalex.org/A5048679959,Olivier Chapuis,146,2673,31,55,1991
https://openalex.org/A5073024818,William Odom,145,5097,39,88,1895
https://openalex.org/A5112199595,John Makhoul,143,5189,24,51,1966
https://openalex.org/A5046759211,Cody T. Ross,116,2993,26,49,1850
https://openalex.org/A5040811336,Silvia Lindtner,96,3541,30,53,2006
https://openalex.org/A5019243359,Timothy M. Waring,85,2725,22,37,2005
https://openalex.org/A5052944957,Vicken Hillis,83,1587,18,24,2008
https://openalex.org/A5113916695,Zhongqiang Huang,80,2354,20,34,2006
https://openalex.org/A5025977681,Philipp Singer,75,1084,18,23,1995
https://openalex.org/A5102363948,Cem Keskin,72,3732,28,42,2007
https://openalex.org/A5084534829,Sarah Mathew,64,2427,19,27,2007
https://openalex.org/A5014621224,Manfred Lau,58,1333,14,18,2005
https://openalex.org/A5069950384,Lesley Newson,57,1397,12,13,1995
https://openalex.org/A5057457287,Jacob Devlin,53,41798,25,36,1975
https://openalex.org/A5102831633,Adrian V. Bell,49,3140,16,23,1935
https://openalex.org/A5104268832,Stuart Taylor,47,1053,16,18,1988
https://openalex.org/A5024402344,Rabih Zbib,46,1439,11,13,1999
https://openalex.org/A5006352042,Matthew Zefferman,40,984,10,10,2013
https://openalex.org/A5084650556,Kathryn Demps,36,1204,12,14,2010
https://openalex.org/A5077463393,Juan David Hincapié-Ramos,22,958,14,15,2010
https://openalex.org/A5029485566,Garnet Hertz,20,875,9,8,2009
https://openalex.org/A5051796969,John Helmes,20,437,11,11,2009
https://openalex.org/A5016613036,Karl Frost,18,854,7,7,1970
https://openalex.org/A5002616622,Christian Weichel,16,816,10,10,2010
https://openalex.org/A5051803370,Ryan Baldini,16,924,9,9,2012
https://openalex.org/A5063714293,Emily K. Newton,14,1123,10,10,2010
https://openalex.org/A5109343366,Xiang Guo,12,429,4,2,2003
https://openalex.org/A5061890279,Nicole Naar,9,729,5,3,2014
https://openalex.org/A5082667645,Marius Pallisgaard Olsen,5,63,4,3,2014
https://openalex.org/A5053071845,Thomas Lamar,3,544,3,2,2014
