author_id,treatment,rel_year,works,citations
https://openalex.org/A5002696075,1,5,4,17
https://openalex.org/A5002723576,1,-5,2,19
https://openalex.org/A5002723576,1,-4,2,52
https://openalex.org/A5002723576,1,-3,3,21
https://openalex.org/A5002723576,1,-2,5,20
https://openalex.org/A5002723576,1,-1,4,240
https://openalex.org/A5002723576,1,0,7,421
https://openalex.org/A5002723576,1,1,5,130
https://openalex.org/A5002723576,1,2,3,88
https://openalex.org/A5002723576,1,3,1,21
https://openalex.org/A5002723576,1,4,4,104
https://openalex.org/A5002723576,1,5,9,156
https://openalex.org/A5002742929,1,-1,1,5
https://openalex.org/A5002742929,1,0,3,45
https://openalex.org/A5002831957,0,-5,4,1574
https://openalex.org/A5002831957,0,-4,5,1131
https://openalex.org/A5002831957,0,-3,5,2439
https://openalex.org/A5002831957,0,-2,4,115
https://openalex.org/A5002831957,0,-1,5,194
https://openalex.org/A5002831957,0,0,13,11000
https://openalex.org/A5002831957,0,1,8,1826
https://openalex.org/A5002831957,0,2,28,5864
https://openalex.org/A5002831957,0,3,9,7798
https://openalex.org/A5002831957,0,4,15,1591
https://openalex.org/A5002831957,0,5,12,505
https://openalex.org/A5002874750,0,-5,8,16
https://openalex.org/A5002874750,0,-4,5,54
https://openalex.org/A5002874750,0,-3,4,38
https://openalex.org/A5002874750,0,-2,2,73
https://openalex.org/A5002874750,0,-1,4,28
https://openalex.org/A5002874750,0,0,7,414
https://openalex.org/A5002874750,0,1,11,128
https://openalex.org/A5002874750,0,2,6,55
https://openalex.org/A5002874750,0,3,26,301
https://openalex.org/A5002874750,0,4,24,119
https://openalex.org/A5002874750,0,5,24,113
https://openalex.org/A5002939847,0,-5,14,1039
https://openalex.org/A5002939847,0,-4,14,537
