paper_id,paper_year,cd5,ni,nj
W3153624705,2021,-0.7142857142857143,7,42
W3134238321,2021,-0.28,9,16
W3187197515,2021,-0.6923076923076923,4,22
W4376480839,2023,0.0,7,7
W4297882573,2022,0.5,9,3
W4386260607,2023,-0.3333333333333333,3,6
W4385222079,2023,-0.5,2,6
W3196837389,2021,-0.8095238095238095,2,19
W3088572544,2020,-0.6923076923076923,2,11
W3199642849,2021,-0.5,3,9
W4311080294,2022,0.0,4,4
W3202992414,2021,-0.7142857142857143,1,6
W1972045712,2013,-0.3333333333333333,1,2
W2804680330,2018,-1.0,0,12
W2556464778,2015,-1.0,0,7
W4386396159,2023,-1.0,0,2
W4285717150,2020,1.0,1,0
W4297785877,2020,1.0,10,0
W2782340910,2018,-0.8064516129032258,3,28
W2603937752,2016,1.0,2,0
W3115256353,2020,-1.0,0,6
W2804997982,2018,1.0,2,0
W3113084858,2020,-1.0,0,1
W4281252190,2022,1.0,1,0
W4310921818,2022,1.0,1,0
W4386568614,2023,-0.48,13,37
W3104278118,2020,1.0,12,0
W2212967341,2015,0.3333333333333333,6,3
W3081325717,2020,-0.7209302325581395,6,37
W2964271403,2018,1.0,49,0
W3038342492,2020,-0.28,18,32
W3099103344,2020,1.0,11,0
W2966149470,2019,-1.0,0,50
W2804285737,2018,1.0,12,0
W2803831897,2018,-0.48,13,37
W2989953367,2019,1.0,4,0
W2982501339,2019,-1.0,0,2
W2786552636,2018,1.0,1,0
W2792402990,2018,-0.4,15,35
W4389471480,2023,1.0,50,0
W3125488228,2021,-0.68,8,42
W3097407536,2020,-0.391304347826087,7,16
W3035478617,2020,-0.56,11,39
W2914953695,2019,1.0,50,0
W4286893067,2021,1.0,24,0
W3170433571,2020,1.0,10,0
W2952132303,2019,1.0,18,0
W3163155043,2021,-0.6666666666666666,2,10
W4382491779,2023,1.0,10,0
W3208462402,2021,-0.5555555555555556,2,7
W3200529270,2021,-1.0,0,4
W3097528668,2020,-1.0,0,5
W3209699812,2021,-0.5,1,3
W4283324004,2022,1.0,4,0
