paper_id,cited_by_count
W4389471480,69
W3125488228,63
W3035478617,60
W2782340910,34
W3097407536,24
W4286893067,24
W2952132303,18
W3163155043,12
W3170433571,10
W4297785877,10
W4382491779,10
W3208462402,9
W3115256353,6
W3097528668,5
W3200529270,4
W3209699812,4
W4283324004,4
W4287262333,4
W4313484456,4
W4226064854,3
W4287183307,3
W2603937752,2
W2804997982,2
W2996462066,2
W3186734958,2
W4285070005,2
W3113084858,1
W4281252190,1
W4310921818,1
W2488076437,0
W2622492267,0
W2746926782,0
W2900027380,0
W2907723426,0
W2950269678,0
W3004039626,0
W3015601061,0
W3137346295,0
W3153847645,0
W3159249449,0
W3210430867,0
W3213069745,0
W4221163775,0
W4285722522,0
W4288009547,0
W4289105457,0
W4290080165,0
W4293117917,0
W4293118281,0
W4293118292,0
W4317496159,0
W4380669409,0
W4382199208,0
W4385191876,0
W4388405593,0
W3004647847,1111
W3142571537,544
W2801312275,268
W2971278153,253
W2963540976,193
W2962847566,139
W2970641149,109
W2896992572,78
W2017606936,58
W3037971676,37
W2994748066,55
W3005327280,49
W2791136298,45
W2989361410,44
W2274083067,27
W2511518709,26
W2893608272,25
W3214173770,20
W2022768928,11
W4318003721,5
W1997691221,19
W2792975008,16
W2991196083,13
W3090054376,13
W4252580868,13
W3037213631,12
W2886821453,9
W3103900341,9
W3111915897,8
W2995969420,5
W2248777421,12
W2963620539,8
W3105312662,3
W2883612379,6
W2904935864,2
W2998549853,2
W2187494667,1
W2808746463,570
W2963641970,323
W2898631838,171
W2958796454,153
W2787273002,145
W2895434480,137
W2804900738,136
W2996897098,108
W2948700496,96
W2807548807,79
W3132510842,26
W3102864525,24
W3132413728,15
W2971290077,12
W3087242105,12
W4302306950,10
W2964214281,9
W2994998355,9
W3112657725,8
W3172637609,8
W3014636579,7
W2970989202,5
W3103076060,5
W3110636601,5
W3134922363,5
W4285077907,5
W4309805139,4
W2755138616,3
W2979364645,3
W4319653963,3
W1748409498,2
W3161970516,2
W4225538038,2
W4317671430,2
W4379540215,2
W4385644035,2
W4389600503,2
W2102456179,1
W3103971307,1
W3131204648,1
W4287601736,1
W4388963811,1
W2311196609,0
W2539254396,0
W2620904054,0
W2804063239,0
W3136906901,0
W3156801667,0
W3167374089,0
W3214698660,0
W4221161306,0
W4221161837,0
W4245823379,0
W4287155329,0
W4289220373,0
W4298362630,0
W4300714579,0
W4312059589,0
W4314942021,0
W4366835657,0
W4384111525,0
W4390992147,0
W7147604660,0
W2599379624,273
W2899396876,182
W2798641544,162
W4389523777,124
W2368550879,113
W3033348698,104
W2758102451,103
W3190496320,101
W4318980730,101
W2584029330,76
W4225736880,42
W4304080724,26
W2913333837,54
W2897044322,37
W3040704110,37
W2761662547,36
W4230613728,35
W3175551809,27
W4293715712,18
W4308644386,14
W4360831822,13
W2199318523,23
W2980973551,17
W2528343342,16
W2953801276,11
W3102042883,11
W4387708155,5
W2886703882,13
W2584744348,12
W3196498968,9
W4251377746,9
W3123442708,8
W3033546304,6
W4250392047,6
W4388118105,4
W2943656585,3
W4248348060,4
W4297336936,4
W2898799722,3
W4381612268,3
W2922559501,2
W4223893829,2
W4390188386,2
W2139550682,1
W3092768157,2
W2295153157,1
W2760590905,1
W2810633885,1
W2908509829,1
W4312624135,1
W3034264324,108
W2913467712,92
W2273027740,74
W2734620438,58
W3040996572,47
W2800193636,44
W3170944957,11
W3124990536,10
W4226526229,10
W4300267856,9
W4287118466,8
W4296957682,7
W4310923700,7
W4372279492,5
